,building,date,0,1,2,3,4,5,company
0,Leonard Pointe,02-23-22,1,2,0,,,,UDR
1,Columbus Square,02-23-22,4,28,12,1.0,0.0,,UDR
2,21 Chelsea,02-23-22,2,6,1,,,0.0,UDR
3,95 Wall,02-23-22,17,2,4,0.0,,,UDR
4,10 Hanover Square,02-23-22,27,11,0,0.0,,,UDR
5,View 34,02-23-22,3,37,10,3.0,,,UDR
0,View 34,02-24-22,3,38,9,3.0,,,UDR
1,95 Wall,02-24-22,16,2,4,0.0,,,UDR
2,Columbus Square,02-24-22,5,27,13,1.0,0.0,,UDR
3,Leonard Pointe,02-24-22,1,2,0,,,,UDR
4,10 Hanover Square,02-24-22,27,11,0,0.0,,,UDR
5,21 Chelsea,02-24-22,2,6,1,,,0.0,UDR
0,21 Chelsea,02-25-22,2,7,1,,,0.0,UDR
1,95 Wall,02-25-22,13,1,4,0.0,,,UDR
2,10 Hanover Square,02-25-22,28,9,0,0.0,,,UDR
3,Leonard Pointe,02-25-22,1,2,0,,,,UDR
4,Columbus Square,02-25-22,5,29,13,1.0,0.0,,UDR
5,View 34,02-25-22,3,38,9,4.0,,,UDR
0,Leonard Pointe,02-26-22,1,2,0,,,,UDR
1,View 34,02-26-22,3,38,9,4.0,,,UDR
2,21 Chelsea,02-26-22,2,6,1,,,0.0,UDR
3,95 Wall,02-26-22,12,1,4,0.0,,,UDR
4,10 Hanover Square,02-26-22,27,9,0,0.0,,,UDR
5,Columbus Square,02-26-22,5,29,13,0.0,0.0,,UDR
0,95 Wall,02-27-22,12,1,3,0.0,,,UDR
1,Leonard Pointe,02-27-22,1,2,0,,,,UDR
2,Columbus Square,02-27-22,5,29,13,0.0,0.0,,UDR
3,View 34,02-27-22,3,38,9,4.0,,,UDR
4,21 Chelsea,02-27-22,2,6,0,,,0.0,UDR
5,10 Hanover Square,02-27-22,27,9,0,0.0,,,UDR
0,View 34,02-28-22,3,38,9,4.0,,,UDR
1,Columbus Square,02-28-22,4,27,13,0.0,0.0,,UDR
2,Leonard Pointe,02-28-22,1,1,0,,,,UDR
3,10 Hanover Square,02-28-22,24,8,0,0.0,,,UDR
4,21 Chelsea,02-28-22,2,6,0,,,0.0,UDR
5,95 Wall,02-28-22,12,1,3,0.0,,,UDR
0,Leonard Pointe,03-01-22,1,1,0,,,,UDR
1,95 Wall,03-01-22,12,2,3,0.0,,,UDR
2,View 34,03-01-22,3,38,9,4.0,,,UDR
3,21 Chelsea,03-01-22,2,6,0,,,0.0,UDR
4,Columbus Square,03-01-22,4,30,12,0.0,0.0,,UDR
5,10 Hanover Square,03-01-22,27,9,0,0.0,,,UDR
0,95 Wall,03-02-22,14,2,3,0.0,,,UDR
1,Leonard Pointe,03-02-22,1,1,0,,,,UDR
2,10 Hanover Square,03-02-22,29,9,0,0.0,,,UDR
3,Columbus Square,03-02-22,6,33,11,0.0,0.0,,UDR
4,View 34,03-02-22,3,41,10,4.0,,,UDR
5,21 Chelsea,03-02-22,2,6,0,,,0.0,UDR
0,21 Chelsea,03-03-22,2,7,0,,,0.0,UDR
1,10 Hanover Square,03-03-22,29,10,0,0.0,,,UDR
2,95 Wall,03-03-22,13,2,3,0.0,,,UDR
3,View 34,03-03-22,2,44,11,4.0,,,UDR
4,Leonard Pointe,03-03-22,1,2,0,,,,UDR
5,Columbus Square,03-03-22,7,32,10,0.0,0.0,,UDR
0,Leonard Pointe,03-04-22,1,2,0,,,,UDR
1,95 Wall,03-04-22,13,2,3,0.0,,,UDR
2,21 Chelsea,03-04-22,2,7,0,,,0.0,UDR
3,View 34,03-04-22,2,49,12,4.0,,,UDR
4,10 Hanover Square,03-04-22,29,10,0,0.0,,,UDR
5,Columbus Square,03-04-22,7,32,11,0.0,0.0,,UDR
0,View 34,03-05-22,2,47,12,5.0,,,UDR
1,Columbus Square,03-05-22,7,31,11,0.0,0.0,,UDR
2,95 Wall,03-05-22,13,2,3,0.0,,,UDR
3,Leonard Pointe,03-05-22,1,1,0,,,,UDR
4,21 Chelsea,03-05-22,2,7,0,,,0.0,UDR
5,10 Hanover Square,03-05-22,29,10,0,0.0,,,UDR
0,View 34,03-06-22,2,47,12,5.0,,,UDR
1,10 Hanover Square,03-06-22,29,10,0,0.0,,,UDR
2,21 Chelsea,03-06-22,2,7,0,,,0.0,UDR
3,95 Wall,03-06-22,11,2,3,0.0,,,UDR
4,Leonard Pointe,03-06-22,1,2,0,,,,UDR
5,Columbus Square,03-06-22,7,31,11,0.0,0.0,,UDR
0,95 Wall,03-07-22,11,2,3,0.0,,,UDR
1,Columbus Square,03-07-22,7,31,11,0.0,0.0,,UDR
2,Leonard Pointe,03-07-22,1,2,0,,,,UDR
3,View 34,03-07-22,2,47,12,5.0,,,UDR
4,21 Chelsea,03-07-22,2,7,0,,,0.0,UDR
5,10 Hanover Square,03-07-22,29,10,0,0.0,,,UDR
0,10 Hanover Square,03-08-22,29,10,0,0.0,,,UDR
1,95 Wall,03-08-22,12,2,3,0.0,,,UDR
2,21 Chelsea,03-08-22,2,8,0,,,0.0,UDR
3,Columbus Square,03-08-22,8,30,11,0.0,0.0,,UDR
4,Leonard Pointe,03-08-22,0,2,0,,,,UDR
5,View 34,03-08-22,1,48,12,5.0,,,UDR
0,View 34,03-09-22,1,47,12,6.0,,,UDR
1,95 Wall,03-09-22,11,2,3,0.0,,,UDR
2,21 Chelsea,03-09-22,2,8,0,,,0.0,UDR
3,Leonard Pointe,03-09-22,0,2,0,,,,UDR
4,Columbus Square,03-09-22,9,32,11,0.0,0.0,,UDR
5,10 Hanover Square,03-09-22,29,10,0,0.0,,,UDR
0,Columbus Square,03-10-22,9,32,11,0.0,0.0,,UDR
1,10 Hanover Square,03-10-22,29,11,0,0.0,,,UDR
2,95 Wall,03-10-22,14,2,4,0.0,,,UDR
3,View 34,03-10-22,1,50,12,7.0,,,UDR
4,21 Chelsea,03-10-22,3,11,0,,,0.0,UDR
5,Leonard Pointe,03-10-22,0,2,0,,,,UDR
0,Leonard Pointe,03-11-22,0,2,0,,,,UDR
1,10 Hanover Square,03-11-22,30,12,0,0.0,,,UDR
2,21 Chelsea,03-11-22,3,11,0,,,0.0,UDR
3,95 Wall,03-11-22,15,2,4,0.0,,,UDR
4,Columbus Square,03-11-22,9,31,11,0.0,0.0,,UDR
5,View 34,03-11-22,1,51,10,8.0,,,UDR
0,Leonard Pointe,03-12-22,0,1,0,,,,UDR
1,Columbus Square,03-12-22,9,31,11,0.0,0.0,,UDR
2,95 Wall,03-12-22,15,2,4,0.0,,,UDR
3,10 Hanover Square,03-12-22,30,12,0,0.0,,,UDR
4,21 Chelsea,03-12-22,3,11,0,,,0.0,UDR
5,View 34,03-12-22,1,52,10,8.0,,,UDR
0,21 Chelsea,03-13-22,3,10,0,,,0.0,UDR
1,Columbus Square,03-13-22,9,31,11,0.0,0.0,,UDR
2,View 34,03-13-22,1,51,10,8.0,,,UDR
3,95 Wall,03-13-22,15,2,4,0.0,,,UDR
4,Leonard Pointe,03-13-22,0,1,0,,,,UDR
5,10 Hanover Square,03-13-22,30,12,0,0.0,,,UDR
0,Columbus Square,03-14-22,9,29,11,0.0,0.0,,UDR
1,21 Chelsea,03-14-22,3,10,0,,,0.0,UDR
2,Leonard Pointe,03-14-22,0,1,0,,,,UDR
3,95 Wall,03-14-22,16,3,4,0.0,,,UDR
4,10 Hanover Square,03-14-22,30,12,0,0.0,,,UDR
5,View 34,03-14-22,1,47,9,8.0,,,UDR
0,21 Chelsea,03-16-22,3,11,0,,,0.0,UDR
1,View 34,03-16-22,2,51,10,8.0,,,UDR
2,Columbus Square,03-16-22,10,30,11,0.0,0.0,,UDR
3,95 Wall,03-16-22,18,3,4,0.0,,,UDR
4,10 Hanover Square,03-16-22,31,12,0,0.0,,,UDR
5,Leonard Pointe,03-16-22,0,1,0,,,,UDR
0,10 Hanover Square,03-17-22,32,13,0,0.0,,,UDR
1,View 34,03-17-22,2,52,11,8.0,,,UDR
2,21 Chelsea,03-17-22,3,11,0,,,0.0,UDR
3,95 Wall,03-17-22,18,2,4,0.0,,,UDR
4,Leonard Pointe,03-17-22,0,2,0,,,,UDR
5,Columbus Square,03-17-22,10,32,11,0.0,0.0,,UDR
0,Leonard Pointe,03-19-22,0,2,0,,,,UDR
1,Columbus Square,03-19-22,11,32,12,0.0,0.0,,UDR
2,95 Wall,03-19-22,17,2,4,0.0,,,UDR
3,21 Chelsea,03-19-22,4,11,0,,,0.0,UDR
4,View 34,03-19-22,2,53,10,8.0,,,UDR
5,10 Hanover Square,03-19-22,32,13,0,0.0,,,UDR
0,Leonard Pointe,03-20-22,0,1,0,,,,UDR
1,Columbus Square,03-20-22,12,31,12,0.0,0.0,,UDR
2,21 Chelsea,03-20-22,4,11,0,,,0.0,UDR
3,95 Wall,03-20-22,17,2,4,0.0,,,UDR
4,View 34,03-20-22,1,54,10,8.0,,,UDR
5,10 Hanover Square,03-20-22,32,12,0,0.0,,,UDR
0,Columbus Square,03-21-22,12,30,12,0.0,0.0,,UDR
1,95 Wall,03-21-22,17,2,4,0.0,,,UDR
2,View 34,03-21-22,1,52,9,8.0,,,UDR
3,21 Chelsea,03-21-22,4,10,0,,,0.0,UDR
4,10 Hanover Square,03-21-22,31,12,0,0.0,,,UDR
5,Leonard Pointe,03-21-22,0,1,0,,,,UDR
0,Columbus Square,03-22-22,12,31,11,0.0,0.0,,UDR
1,View 34,03-22-22,1,52,9,7.0,,,UDR
2,10 Hanover Square,03-22-22,31,13,0,0.0,,,UDR
3,95 Wall,03-22-22,17,2,4,0.0,,,UDR
4,Leonard Pointe,03-22-22,0,1,0,,,,UDR
5,21 Chelsea,03-22-22,4,9,0,,,0.0,UDR
0,21 Chelsea,03-23-22,5,8,0,,,0.0,UDR
1,Columbus Square,03-23-22,11,28,11,0.0,0.0,,UDR
2,10 Hanover Square,03-23-22,35,12,0,0.0,,,UDR
3,View 34,03-23-22,1,52,9,8.0,,,UDR
4,95 Wall,03-23-22,16,3,4,0.0,,,UDR
5,Leonard Pointe,03-23-22,0,1,0,,,,UDR
0,View 34,03-24-22,2,52,10,8.0,,,UDR
1,21 Chelsea,03-24-22,5,9,0,,,0.0,UDR
2,95 Wall,03-24-22,16,3,3,0.0,,,UDR
3,Columbus Square,03-24-22,13,31,11,0.0,0.0,,UDR
4,10 Hanover Square,03-24-22,34,13,0,0.0,,,UDR
5,Leonard Pointe,03-24-22,0,1,0,,,,UDR
0,21 Chelsea,03-25-22,5,9,0,,,0.0,UDR
1,95 Wall,03-25-22,17,3,3,0.0,,,UDR
2,View 34,03-25-22,2,52,10,8.0,,,UDR
3,Columbus Square,03-25-22,13,31,10,0.0,0.0,,UDR
4,Leonard Pointe,03-25-22,0,2,0,,,,UDR
5,10 Hanover Square,03-25-22,34,13,0,0.0,,,UDR
0,Leonard Pointe,03-26-22,0,1,0,,,,UDR
1,View 34,03-26-22,3,49,8,8.0,,,UDR
2,95 Wall,03-26-22,16,3,3,0.0,,,UDR
3,Columbus Square,03-26-22,14,31,10,0.0,0.0,,UDR
4,21 Chelsea,03-26-22,5,9,0,,,0.0,UDR
5,10 Hanover Square,03-26-22,32,12,0,0.0,,,UDR
0,View 34,03-27-22,3,49,8,8.0,,,UDR
1,21 Chelsea,03-27-22,5,10,0,,,0.0,UDR
2,10 Hanover Square,03-27-22,31,12,0,0.0,,,UDR
3,95 Wall,03-27-22,17,3,4,0.0,,,UDR
4,Columbus Square,03-27-22,13,26,10,0.0,0.0,,UDR
5,Leonard Pointe,03-27-22,0,1,0,,,,UDR
0,View 34,03-28-22,3,49,8,8.0,,,UDR
1,21 Chelsea,03-28-22,5,10,0,,,0.0,UDR
2,Leonard Pointe,03-28-22,0,1,0,,,,UDR
3,Columbus Square,03-28-22,13,25,10,0.0,0.0,,UDR
4,95 Wall,03-28-22,17,3,4,0.0,,,UDR
5,10 Hanover Square,03-28-22,29,12,0,0.0,,,UDR
0,21 Chelsea,03-29-22,5,10,0,,,0.0,UDR
1,10 Hanover Square,03-29-22,29,12,0,0.0,,,UDR
2,95 Wall,03-29-22,17,3,4,0.0,,,UDR
3,View 34,03-29-22,3,47,8,8.0,,,UDR
4,Columbus Square,03-29-22,14,26,11,0.0,0.0,,UDR
5,Leonard Pointe,03-29-22,0,1,0,,,,UDR
0,10 Hanover Square,03-31-22,31,13,0,0.0,,,UDR
1,Columbus Square,03-31-22,15,26,10,0.0,0.0,,UDR
2,21 Chelsea,03-31-22,3,11,0,,,0.0,UDR
3,View 34,03-31-22,2,54,10,10.0,,,UDR
4,95 Wall,03-31-22,20,3,3,0.0,,,UDR
5,Leonard Pointe,03-31-22,1,1,0,,,,UDR
0,21 Chelsea,04-02-22,4,13,0,,,0.0,UDR
1,Leonard Pointe,04-02-22,1,0,0,,,,UDR
2,Columbus Square,04-02-22,15,26,11,0.0,0.0,,UDR
3,95 Wall,04-02-22,22,3,4,0.0,,,UDR
4,10 Hanover Square,04-02-22,29,13,0,0.0,,,UDR
5,View 34,04-02-22,3,56,10,10.0,,,UDR
0,95 Wall,04-03-22,22,3,3,0.0,,,UDR
1,21 Chelsea,04-03-22,3,11,0,,,0.0,UDR
2,View 34,04-03-22,3,57,10,10.0,,,UDR
3,Leonard Pointe,04-03-22,1,0,0,,,,UDR
4,10 Hanover Square,04-03-22,27,13,0,0.0,,,UDR
5,Columbus Square,04-03-22,16,25,11,0.0,0.0,,UDR
0,View 34,04-04-22,3,57,10,10.0,,,UDR
1,10 Hanover Square,04-04-22,27,13,0,0.0,,,UDR
2,Columbus Square,04-04-22,16,25,11,0.0,0.0,,UDR
3,95 Wall,04-04-22,22,3,3,0.0,,,UDR
4,Leonard Pointe,04-04-22,0,0,0,,,,UDR
5,21 Chelsea,04-04-22,3,11,0,,,0.0,UDR
0,View 34,04-05-22,3,57,10,10.0,,,UDR
1,Columbus Square,04-05-22,16,25,11,0.0,0.0,,UDR
2,Leonard Pointe,04-05-22,0,0,0,,,,UDR
3,21 Chelsea,04-05-22,3,11,0,,,0.0,UDR
4,95 Wall,04-05-22,22,3,3,0.0,,,UDR
5,10 Hanover Square,04-05-22,22,13,0,0.0,,,UDR
0,Columbus Square,04-06-22,16,26,10,0.0,0.0,,UDR
1,10 Hanover Square,04-06-22,22,13,0,0.0,,,UDR
