,date,unitName,sqrFt,price,availableDate,bdr,bthr,flr,features,apt_views,hasSpecial
79,02-06-22,Apartment N22F,675,4215,Now,1,1,22,"Smart home package
Hardwood floors",49,1
80,02-06-22,Apartment S16F,675,4381,Now,1,1,16,"River view
Smart home package
Hardwood floors",29,1
81,02-06-22,Apartment S17P,678,3855,Now,1,1,17,"Smart home package
Hardwood floors",91,1
82,02-06-22,Apartment N24D,965,4906,2/10/2022,1,1.5,24,"River view
Smart home package
Hardwood floors",53,0
83,02-06-22,Apartment S07M,567,4159,2/10/2022,1,1,7,"Smart home package
Bookcase divider",32,0
84,02-06-22,Apartment S20K,567,4236,2/10/2022,1,1,20,"Smart home package
Hardwood floors",19,0
85,02-06-22,Apartment S21K,567,4221,3/3/2022,1,1,21,Smart home package,17,0
86,02-06-22,Apartment N27K,678,3990,3/5/2022,1,1,27,Smart home package,37,0
87,02-06-22,Apartment N34D,965,5245,3/9/2022,1,1.5,34,"River view
Smart home package
Bookcase divider",26,0
88,02-06-22,Apartment N25J,587,4167,3/10/2022,1,1,25,"Smart home package
Hardwood floors
Closet built-ins",25,0
89,02-06-22,Apartment N03B,1018,5428,3/16/2022,1,2,3,"Smart home package
Oversized kitchen
Hardwood floors",25,0
90,02-06-22,Apartment S23G,740,6323,3/16/2022,1,1,23,"Corner location
Smart home package
Hardwood floors",29,0
91,02-06-22,Apartment S15M,567,4264,3/17/2022,1,1,15,"Smart home package
Hardwood floors",16,0
92,02-06-22,Apartment N09P,678,4122,3/24/2022,1,1,9,Smart home package,16,0
93,02-06-22,Apartment N19M,678,4314,3/24/2022,1,1,19,"Smart home package
Hardwood floors
Closet built-ins",11,0
94,02-06-22,Apartment S27B,1018,5641,3/24/2022,1,2,27,"Smart home package
Oversized kitchen
Hardwood floors",18,0
95,02-06-22,Apartment S09L,683,4212,3/30/2022,1,1,9,"Smart home package
Hardwood floors",15,0
96,02-06-22,Apartment N20D,965,5562,3/31/2022,1,1.5,20,"Smart home package
Hardwood floors
Closet built-ins",11,0
97,02-06-22,Apartment N20K,567,4523,4/6/2022,1,1,20,"Smart home package
Hardwood floors",8,0
98,02-06-22,Apartment S23F,675,4444,4/6/2022,1,1,23,"Smart home package
Hardwood floors",6,0
99,02-06-22,Apartment N04B,1018,5505,4/7/2022,1,2,4,"Smart home package
Oversized kitchen
Hardwood floors",15,0
100,02-06-22,Apartment N05F,675,4542,4/7/2022,1,1,5,"River view
Smart home package
Hardwood floors",10,0
101,02-06-22,Apartment N16L,683,4217,4/7/2022,1,1,16,"Smart home package
Bookcase divider",14,0
102,02-06-22,Apartment S23H,587,6008,4/9/2022,1,1,23,"Corner location
Smart home package
Terrace",13,0
103,02-06-22,Apartment N08B,1018,5442,4/13/2022,1,2,8,"Smart home package
Oversized kitchen
Hardwood floors",5,0
104,02-06-22,Apartment S22K,567,4694,4/13/2022,1,1,22,"Smart home package
Hardwood floors
Sliding glass wall divider",11,0
105,02-06-22,Apartment S24D,521,3904,4/13/2022,1,1,24,"Smart home package
Balcony",35,0
106,02-06-22,Apartment N25D,965,5169,4/14/2022,1,1.5,25,"River view
Smart home package
Hardwood floors",8,0
107,02-06-22,Apartment N35D,965,5364,4/20/2022,1,1.5,35 - Top Floor,"River view
Smart home package
Hardwood floors",5,0
108,02-06-22,Apartment S18L,587,4248,4/20/2022,1,1,18,"Smart home package
Hardwood floors",14,0
109,02-06-22,Apartment N29D,965,5453,4/28/2022,1,1.5,29,"River view
Smart home package
Hardwood floors",13,0
110,02-06-22,Apartment N15G,636,4302,5/5/2022,1,1,15,"River view
Smart home package",13,0
111,02-06-22,Apartment N04C,1290,7290,Now,3,2,4,"River view
Corner location
Smart home package",43,1
112,02-06-22,Apartment N20C,1290,7919,Now,3,2,20,"Corner location
Smart home package
Stackable washer and dryer",36,1
113,02-06-22,Apartment S03C,1290,6995,Now,3,2,3,"Corner location
Smart home package
Oversized kitchen",40,1
114,02-06-22,Apartment N09J,1275,7084,4/6/2022,3,2,9,"River view
Corner location
Smart home package",35,0
115,02-06-22,Apartment S05K,1085,5924,2/17/2022,2,2,5,"Corner location
Smart home package
Hardwood floors",54,0
116,02-06-22,Apartment S04B,1018,5634,3/10/2022,2,2,4,"Smart home package
Oversized kitchen
Hardwood floors",50,0
117,02-06-22,Apartment N09K,1085,6113,3/16/2022,2,2,9,"River view
Corner location
Smart home package",22,0
118,02-06-22,Apartment N29B,1018,6017,3/17/2022,2,2,29,"Smart home package
Oversized kitchen
Hardwood floors",30,0
119,02-06-22,Apartment S05A,1343,7357,3/24/2022,2,2,5,"Smart home package
Hardwood floors
Balcony",19,0
120,02-06-22,Apartment S28B,1018,6394,4/14/2022,2,2,28,"Smart home package
Oversized kitchen
Balcony",9,0
121,02-06-22,Apartment S09A,1343,7795,5/5/2022,2,2,9,"Smart home package
Hardwood floors
Balcony",20,0
122,02-06-22,Apartment 1404,818,4053,Now,0,1,14,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",36,0
123,02-06-22,Apartment 1417,475,3249,Now,0,1,14,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",75,0
124,02-06-22,Apartment 1910,583,3912,Now,0,1,19,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",22,0
125,02-06-22,Apartment 217,475,3449,Now,0,1,2,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",18,0
126,02-06-22,Apartment 301,551,3870,Now,0,1,3,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",12,0
127,02-06-22,Apartment 410,576,3781,Now,0,1,4,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",13,0
128,02-06-22,Apartment 425,623,3741,Now,0,1,4,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",12,0
129,02-06-22,Apartment 909,618,3896,Now,0,1,9,"Stackable washer and dryer
Marble countertops & backsplash
Hardwood floors",15,0
